,age,income,friends,attempt_suicide,Virgin,Depressed,Social_Fear,gender,sexuallity,bodyweight
0,35,34999.5,0.0,1,1,1,1,1,1,1
1,21,5000.5,0.0,0,1,1,1,1,2,2
2,22,0,10.0,0,1,1,1,1,1,3
3,19,5000.5,8.0,0,1,1,1,1,1,3
4,23,34999.5,10.0,0,0,1,0,1,1,3
5,24,62499.5,2.0,1,1,1,1,1,1,1
6,22,5000.5,2.0,0,1,1,1,1,1,2
7,24,24999.5,10.0,1,1,1,1,2,3,1
8,20,14999.5,0.0,0,1,1,1,1,1,3
9,33,62499.5,6.0,1,0,1,1,1,1,3
10,32,62499.5,5.0,0,1,0,0,2,1,3
11,25,5000.5,0.0,1,1,1,1,1,1,1
12,24,5000.5,20.0,0,0,0,0,1,1,1
13,23,0,1.0,1,1,1,1,2,1,1
14,22,34999.5,0.0,0,1,1,0,1,1,1
15,23,0,6.0,0,1,1,0,1,1,2
16,29,5000.5,5.0,0,1,1,1,2,1,1
17,21,5000.5,12.0,0,0,0,0,1,1,1
18,17,5000.5,5.0,1,1,1,1,1,1,3
19,29,87499.5,1.0,0,1,1,1,1,1,1
20,32,14999.5,10.0,0,1,1,1,1,1,1
21,20,5000.5,8.0,0,1,1,1,2,1,1
22,24,0,40.0,0,1,1,1,1,1,1
23,20,5000.5,10.0,0,1,0,0,1,1,1
24,21,24999.5,5.0,0,1,1,1,1,1,1
25,17,0,5.0,0,1,0,1,2,1,2
26,24,24999.5,3.0,0,0,0,0,1,1,1
27,17,0,5.0,0,1,1,1,1,1,1
28,28,0,1.0,0,1,1,1,2,1,1
29,19,5000.5,0.0,0,1,0,1,1,1,2
30,17,0,5.0,0,1,0,1,1,1,2
31,25,5000.5,6.0,0,1,1,1,1,1,2
32,17,0,5.0,0,1,1,1,1,1,2
33,23,14999.5,13.0,0,0,1,0,1,1,1
34,26,24999.5,6.0,0,1,0,0,1,1,3
35,26,0,3.0,0,0,0,1,1,1,1
36,23,87499.5,15.0,0,0,1,1,1,1,1
37,25,34999.5,8.0,0,1,1,1,1,1,3
38,18,0,17.0,0,1,1,0,1,1,1
39,19,0,40.0,0,0,0,0,1,1,1
40,19,5000.5,15.0,0,1,0,0,1,1,1
41,55,24999.5,0.0,0,0,0,0,2,1,3
42,35,87499.5,5.0,0,0,1,0,1,1,1
43,24,0,2.0,1,1,1,0,1,1,3
44,22,14999.5,0.0,0,1,0,1,1,1,1
45,23,24999.5,1.0,0,1,1,1,2,1,1
46,20,24999.5,5.0,0,1,0,0,1,1,1
47,25,0,0.0,0,1,1,1,1,1,2
48,18,0,10.0,0,1,1,1,1,2,1
49,29,162499.5,3.0,0,1,1,1,1,1,3
50,24,5000.5,1.0,1,1,1,1,1,2,1
51,23,5000.5,4.0,0,0,0,1,2,2,1
52,22,34999.5,3.0,0,1,1,1,1,1,1
53,25,14999.5,6.0,0,1,1,0,1,1,1
54,18,0,0.0,0,1,0,1,1,1,3
55,19,0,10.0,0,1,0,1,1,1,2
56,33,14999.5,7.0,0,0,1,1,1,1,2
57,23,24999.5,1.0,0,1,1,1,1,1,3
58,21,0,0.0,0,1,1,1,2,1,1
59,22,5000.5,1.0,0,1,1,1,1,1,1
60,24,24999.5,20.0,0,1,1,0,1,1,3
61,21,5000.5,4.0,0,1,0,1,3,1,1
62,25,24999.5,0.0,0,1,1,0,1,3,1
63,20,5000.5,1.0,0,1,1,0,1,1,1
64,16,5000.5,8.0,1,1,1,1,1,1,2
65,22,14999.5,6.0,0,0,1,1,1,1,1
66,20,0,4.0,0,1,0,0,1,1,3
67,28,5000.5,0.0,0,1,1,1,1,1,2
68,21,0,0.0,0,1,1,1,1,1,1
69,24,24999.5,8.0,0,1,1,0,1,1,3
70,38,5000.5,0.0,1,0,1,1,1,1,3
71,24,14999.5,4.0,0,1,1,0,1,1,3
72,26,0,5.0,0,1,1,1,2,1,2
73,25,62499.5,0.0,0,1,0,1,1,1,1
74,45,24999.5,0.0,1,0,1,1,1,1,1
75,28,62499.5,12.0,1,1,1,1,1,1,1
76,21,0,0.0,0,1,0,1,1,1,1
77,25,34999.5,2.0,0,1,1,1,1,1,1
78,24,14999.5,5.0,0,0,0,0,1,1,1
79,19,5000.5,2.0,0,1,1,1,1,1,1
80,29,137499.5,6.0,1,1,0,1,1,1,3
81,25,34999.5,4.0,0,0,0,1,1,1,1
